Period,Lower Bound,Forecast,Upper Bound
169,73234.5161866536,147458.349966062,264604.597838768
170,24830.3114773495,50111.4945676466,90129.5094293664
171,10504.7941538785,21249.1126483882,38306.1508328149
172,9750.07661699606,19767.6849806556,35717.2536402957
173,5657.00381745176,11495.4318154739,20817.9792381468
174,3248.31018616337,6615.82315271962,12008.3889027812
175,2988.56663035889,6100.6131816249,11098.352076634
176,1936.31134917626,3961.56240087113,7223.24381900657
177,1703.46912831153,3493.03541272558,6383.31348424044
178,1702.6180029853,3499.12965123463,6408.80874021746
179,2567.99280062991,5289.4123102931,9709.46956476303
180,4042.13442983339,8344.3387520691,15351.3850092768
181,3026.74054804063,6262.11015363218,11546.2424872823
182,2611.40115790704,5414.77289548684,10006.0199303995
183,2153.93111344956,4476.06570543426,8289.63788420334
184,2726.04897907648,5677.44795273481,10537.7315794995
185,2558.65415211628,5340.51159724128,9934.10168548733
186,3233.09489592031,6762.98509283016,12607.6130659856
187,3855.33164127782,8082.15895610075,15099.6713928233
188,7286.0431135438,15307.3510306129,28660.4371177222
189,5975.47118800499,12581.1442799613,23607.0974232007
190,3014.16940383741,6359.93056229604,11959.4595514178
191,2826.93700075681,5977.70742669783,11264.9078461764
192,10006.7275494762,21205.1579967342,40046.578166815
